"TITLE","DOI","PUBDATE","ENTREZUID","ABSTRACT"
"Changes in the epidemic of pulmonary tuberculosis in Shanghai from 1992 to 2016.","10.1111/tmi.13187","2019 Feb","30506617","To estimate whether WHO's End TB Strategy targets can be achieved by analysing the incidence trend of pulmonary tuberculosis in Shanghai during 1992-2016.The age-adjusted annual incidence of tuberculosis (TB) was calculated based on data from the national TB registration system. Linear regression was applied to analyse the trend of the epidemic, together with the statistical indicator of annual percent change (APC).The overall age-standardised rate decreased from 34.8/100 000 in 1992 to 21.2/100 000 in 2016, or by 2.15% (t = -13.258, P < 0.05) annually. After rapidly declining between 1999 and 2003 (-5.4% p.a.), the epidemic remained at a stable level with a lower annual declining rate (-1.1% p.a). In 2035, the estimated incidence will be 17.2/100 000 based on the APC in 2004-2016. There were two peaks in average incidence of the total population, 30.9/100 000 in the 20-24 age group and 66.4/100 000 in the 70-74 age group. Overall, the ratio of new to retreated cases continually rose and eventually reached 8.36:1 in 2016. The constituent ratio of smear-positive cases ranged from 35.9% to 47.8% without rising or decreasing trend (P = 0.065).The epidemic of TB in Shanghai has steadily declined during last two decades. A new strategy should be developed to rapidly reduce the incidence rate to achieve the WHO Goals in 2035.© 2018 John Wiley & Sons Ltd."
"Forecasting the impact of diabetes mellitus on tuberculosis disease incidence and mortality in India.","10.7189/jogh.09.020415","2019 Dec","31673336","In context of the rapidly expanding diabetes mellitus (DM) epidemic in India and slowly declining tuberculosis (TB) incidence, we aimed to estimate the past, current, and future impact of DM on TB epidemiology.An age-structured TB-DM dynamical mathematical model was developed and analyzed to assess the DM-on-TB impact. The model was calibrated using a literature review and meta-analyses. The DM-on-TB impact was analyzed using population attributable fraction metrics. Sensitivity analyses were conducted by accommodating less conservative effect sizes for the TB-DM interactions, by factoring the age-dependence of the TB-DM association, and by assuming different TB disease incidence rate trajectories.In 1990, 11.4% (95% uncertainty interval (UI) = 6.3%-14.4%) of new TB disease incident cases were attributed to DM. This proportion increased to 21.9% (95% UI = 12.1%-26.4%) in 2017, and 33.3% (95% UI = 19.0%-44.1%) in 2050. Similarly, in 1990, 14.5% (95% UI = 9.5%-18.2%) of TB-related deaths were attributed to DM. This proportion increased to 28.9% (95% UI = 18.9%-34.1%) in 2017, and 42.8% (95% UI = 28.7%-53.1%) in 2050. The largest impacts originated from the effects of DM on TB disease progression and infectiousness. Sensitivity analyses suggested that the impact could be even greater.The burgeoning DM epidemic is predicted to become a leading driver of TB disease incidence and mortality over the coming decades. By 2050, at least one-third of TB incidence and almost half of TB mortality in India will be attributed to DM. This is likely generalizable to other Asian Pacific countries with similar TB-DM burdens. Targeting the impact of the increasing DM burden on TB control is critical to achieving the goal of TB elimination by 2050.Copyright © 2019 by the Journal of Global Health. All rights reserved."
"The Future of TB Resistance Diagnosis: The Essentials on Whole Genome Sequencing and Rapid Testing Methods.","10.1016/j.arbres.2019.01.002","2019 Aug","30795867","Tuberculosis resistance diagnostics have vastly improved in recent years thanks to the development of standardised phenotypic and molecular testing methods. However, these methods are either slow or limited in the number of resistant genotypes they can detect. With the advent of next-generation sequencing (NGS) we can sidestep all those problems, as we can sequence whole tuberculosis genomes at increasingly smaller costs and requiring less and less DNA. In this review, we explain how accumulated knowledge in the field has allowed us to go from phenotypic testing to molecular methods to Whole Genome Sequencing (WGS) for resistance diagnostics. We compare current diagnostic methods with WGS as to their efficacy in detecting resistant cases, and show how forthcoming advances in NGS technologies will be crucial in widespread implementation of WGS as a diagnostic tool.Copyright © 2019 SEPAR. Publicado por Elsevier España, S.L.U. All rights reserved."
"Strategies for ending tuberculosis in the South-East Asian Region: A modelling approach.","10.4103/ijmr.IJMR_1901_18","2019 Apr","31411176","To support recent political commitments to end tuberculosis (TB) in the World Health Organization South-East Asian Region (SEAR), there is a need to understand by what measures, and with what investment, these goals could be reached. These questions were addressed by using mathematical models of TB transmission by doing the analysis on a country-by-country basis in SEAR.A dynamical model of TB transmission was developed, in consultation with each of the 11 countries in the SEAR. Three intervention scenarios were examined: (i) strengthening basic TB services (including private sector engagement), (ii) accelerating TB case-finding and notification, and (iii) deployment of a prognostic biomarker test by 2025, to guide mass preventive therapy of latent TB infection. Each scenario was built on the preceding ones, in successive combination.Comprehensive improvements in basic TB services by 2020, in combination with accelerated case-finding to increase TB detection by at least two-fold by 2020, could lead to a reduction in TB incidence rates in SEAR by 67.3 per cent [95% credible intervals (CrI) 65.3-69.8] and TB deaths by 80.9 per cent (95% CrI 77.9-84.7) in 2035, relative to 2015. These interventions alone would require an additional investment of at least US$ 25 billion. However, their combined effect is insufficient to reach the end TB targets of 80 per cent by 2030 and 90 per cent by 2035. Model projections show how additionally, deployment of a biomarker test by 2025 could end TB in the region by 2035. Targeting specific risk groups, such as slum dwellers, could mitigate the coverage needed in the general population, to end TB in the Region.While the scale-up of currently available strategies may play an important role in averting TB cases and deaths in the Region, there will ultimately be a need for novel, mass preventive measures, to meet the end TB goals. Achieving these impacts will require a substantial escalation in funding for TB control in the Region."
"Correction: Forecasting the impact of population ageing on tuberculosis incidence.","10.1371/journal.pone.0224673","2019","31658296","[This corrects the article DOI: 10.1371/journal.pone.0222937.]."
"Forecasting the impact of population ageing on tuberculosis incidence.","10.1371/journal.pone.0222937","2019","31550293","Tuberculosis (TB) disease reactivates from distant latent infection or recent (re)infection. Progression risks increase with age. Across the World Health Organisation Western Pacific region, many populations are ageing and have the highest per capita TB incidence rates in older age groups. However, methods for analysing age-specific TB incidence and forecasting epidemic trends while accounting for demographic change remain limited.We applied the Lee-Carter models, which were originally developed for mortality modelling, to model the temporal trends in age-specific TB incidence data from 2005 to 2018 in Taiwan. Females and males were modelled separately. We combined our demographic forecasts, and age-specific TB incidence forecasts to project TB incidence until 2035. We compared TB incidence projections with demography fixed in 2018 to projections accounting for demographic change.Our models quantified increasing incidence rates with age and declining temporal trends. By 2035, the forecast suggests that the TB incidence rate in Taiwan will decrease by 54% (95% Prediction Interval (PI): 45%-59%) compared to 2015, while most age-specific incidence rates will reduce by more than 60%. In 2035, adults aged 65 and above will make up 78% of incident TB cases. Forecast TB incidence in 2035 accounting for demographic change will be 39% (95% PI: 36%-42%) higher than without population ageing.Age-specific incidence forecasts coupled with demographic forecasts can inform the impact of population ageing on TB epidemics. The TB control programme in Taiwan should develop plans specific to older age groups and their care needs."
"Distraction of olfactory bulb-medial prefrontal cortex circuit may induce anxiety-like behavior in allergic rhinitis.","10.1371/journal.pone.0221978","2019","31509547","Allergic rhinitis is a chronic inflammatory disease of the upper respiratory tract, which is associated with high incidence of anxiety symptom. There is evidence that medial prefrontal cortex modulates anxiety-related behaviors and receives projections from olfactory bulb. Since olfactory dysfunction has been reported in allergic rhinitis, we aimed to evaluate anxiety-like behavior and oscillations of olfactory bulb-medial prefrontal cortex circuit in an animal model of allergic rhinitis. The number of open arm entries in elevated zero maze was significantly reduced in sensitized rats exposed to intranasal ovalbumin compared to the control group, which was indicating the enhancement of anxiety-like behavior in allergic rhinitis animals. Analysis of local field potentials in olfactory bulb and medial prefrontal cortex during immobility and exploration state showed that anxiety-like behavior induced by allergic rhinitis was in association with increased activity of medial prefrontal cortex and enhancement of olfactory bulb-medial prefrontal cortex coupling in delta and theta bands. Moreover, in allergic rhinitis animals, theta strongly coordinates local gamma activity in olfactory bulb and medial prefrontal cortex, which means to have a strong local theta/gamma coupling. We suggested that disruption of olfactory bulb-medial prefrontal cortex circuit due to allergic reactions might have a governing role for inducing anxiety-like behavior in the allergic rhinitis experimental model."
"Forecasting the seasonality and trend of pulmonary tuberculosis in Jiangsu Province of China using advanced statistical time-series analyses.","10.2147/IDR.S207809","2019","31440067","Forecasting the seasonality and trend of pulmonary tuberculosis is important for the rational allocation of health resources; however, this foresting is often hampered by inappropriate prediction methods. In this study, we performed validation research by comparing the accuracy of the autoregressive integrated moving average (ARIMA) model and the back-propagation neural network (BPNN) model in a southeastern province of China.We applied the data from 462,214 notified pulmonary tuberculosis cases registered from January 2005 to December 2015 in Jiangsu Province to modulate and construct the ARIMA and BPNN models. Cases registered in 2016 were used to assess the prediction accuracy of the models. The root mean square error (RMSE), mean absolute percentage error (MAPE), mean absolute error (MAE) and mean error rate (MER) were used to evaluate the model fitting and forecasting effect.During 2005-2015, the annual pulmonary tuberculosis notification rate in Jiangsu Province was 56.35/100,000, ranging from 40.85/100,000 to 79.36/100,000. Through screening and comparison, the ARIMA (0, 1, 2) (0, 1, 1)12 and BPNN (3-9-1) were defined as the optimal fitting models. In the fitting dataset, the RMSE, MAPE, MAE and MER were 0.3901, 6.0498, 0.2740 and 0.0608, respectively, for the ARIMA (0, 1, 2) (0, 1, 1)12 model, 0.3236, 6.0113, 0.2508 and 0.0587, respectively, for the BPNN model. In the forecasting dataset, the RMSE, MAPE, MAE and MER were 0.1758, 4.6041, 0.1368 and 0.0444, respectively, for the ARIMA (0, 1, 2) (0, 1, 1)12 model, and 0.1382, 3.2172, 0.1018 and 0.0330, respectively, for the BPNN model.Both the ARIMA and BPNN models can be used to predict the seasonality and trend of pulmonary tuberculosis in the Chinese population, but the BPNN model shows better performance. Applying statistical techniques by considering local characteristics may enable more accurate mathematical modeling."
"Epidemiology and disease burden of tuberculosis in south of Tunisia over a 22-year period: Current trends and future projections.","10.1371/journal.pone.0212853","2019","31339884","Tuberculosis (TB) is a public health problem worldwide. Characterizing its trends over time is a useful tool for decision-makers to assess the efficiency of TB control programs. We aimed to give an update on the current chronological trends of TB in Southern Tunisia from 1995 to 2016 and to estimate future trajectories of TB epidemic by 2030.We retrospectively collected data of all notified TB new cases by the Center of Tuberculosis Control between 1995 and 2016 in South of Tunisia. Joinpoint Regression Analysis was performed to analyze chronological trends and annual percentage changes (APC) were estimated.In the past 22 years, a total of 2771 cases of TB were notified in Southern Tunisia. The annual incidence rate of TB was 13.91/100,000 population/year. There was a rise in all forms of TB incidence (APC = 1.63) and in extrapulmonary tuberculosis (EPTB) (APC = 2.04). The incidence of TB increased in children and adult females between 1995 and 2016 (APC = 4.48 and 2.37, respectively). The annual number of TB declined in urban districts between 2004 and 2016 (APC = -2.85). Lymph node TB cases increased (APC = 4.58), while annual number of urogenital TB decreased between 1995 and 2016 (APC = -3.38). Projected incidence rates would increase to 18.13 and 11.8/100,000 population in 2030 for global TB and EPTB, respectively.Our study highlighted a rise in all forms of TB and among high-risk groups, notably children, females and lymph node TB patients in the last two decades and up to the next one."
"Application of a hybrid model in predicting the incidence of tuberculosis in a Chinese population.","10.2147/IDR.S190418","2019","31118707","Objective: To investigate suitable forecasting models for tuberculosis (TB) in a Chinese population by comparing the predictive value of the autoregressive integrated moving average (ARIMA) model and the ARIMA-generalized regression neural network (GRNN) hybrid model. Methods: We used the monthly incidence rate of TB in Lianyungang city from January 2007 through June 2016 to construct a fitting model, and we used the incidence rate from July 2016 to December 2016 to evaluate the forecasting accuracy. The root mean square error (RMSE), mean absolute percentage error (MAPE), mean absolute error (MAE) and mean error rate (MER) were used to assess the performance of these models in fitting and forecasting the incidence of TB. Results: The ARIMA (10, 1, 0) (0, 1, 1)12 model was selected from plausible ARIMA models, and the optimal spread value of the ARIMA-GRNN hybrid model was 0.23. For the fitting dataset, the RMSE, MAPE, MAE and MER were 0.5594, 11.5000, 0.4202 and 0.1132, respectively, for the ARIMA (10, 1, 0) (0, 1, 1)12 model, and 0.5259, 11.2181, 0.3992 and 0.1075, respectively, for the ARIMA-GRNN hybrid model. For the forecasting dataset, the RMSE, MAPE, MAE and MER were 0.2805, 8.8797, 0.2261 and 0.0851, respectively, for the ARIMA (10, 1, 0) (0, 1, 1)12 model, and 0.2553, 5.7222, 0.1519 and 0.0571, respectively, for the ARIMA-GRNN hybrid model. Conclusions: The ARIMA-GRNN hybrid model was shown to be superior to the single ARIMA model in predicting the short-term TB incidence in the Chinese population, especially in fitting and forecasting the peak and trough incidence."
"Spatial and temporal projections of the prevalence of active tuberculosis in Cambodia.","10.1136/bmjgh-2018-001083","2019","30740249","Cambodia is among the 30 highest burden of tuberculosis (TB) countries. Active TB prevalence has been estimated using nationally representative multistage sampling that represents urban, rural and remote parts of the country, but the prevalence in non-sampled communes remains unknown. This study uses geospatial Bayesian statistics to estimate point prevalence across Cambodia, and demographic modelling that accounts for secular trends in fertility, mortality, urbanisation and prevalence rates to project the future burden of active TB.A Bayesian hierarchical model was developed for the 2011 National Tuberculosis Prevalence survey to estimate the differential effect of age, sex and geographic stratum on active TB prevalence; these estimates were then married with high-resolution geographic information system layers to project prevalence across Cambodia. Future TB projections under alternative scenarios were then derived by interfacing these estimates with an individual-based demographic model.Strong differences in risk by age and sex, together with geographically varying population structures, yielded the first estimated prevalence map at a 1 km scale. The projected number of active TB cases within the catchment area of each existing government healthcare facility was derived, together with projections to the year 2030 under three scenarios: no future improvement, continualreduction and GDPprojection.Synthesis of health and geographic data allows likely disease rates to be mapped at a high resolution to facilitate resource planning, while demographic modelling allows scenarios to be projected, demonstrating the need for the acceleration of control efforts to achieve a substantive impact on the future burden of TB in Cambodia."
"Application of provincial data in mathematical modelling to inform sub-national tuberculosis program decision-making in South Africa.","10.1371/journal.pone.0209320","2019","30682028","South Africa has the highest tuberculosis (TB) disease incidence rate in the world, and TB is the leading infectious cause of death. Decisions on, and funding for, TB prevention and care policies are decentralised to the provincial governments and therefore, tools to inform policy need to operate at this level. We describe the use of a mathematical model planning tool at provincial level in a high HIV and TB burden country, to estimate the impact on TB burden of achieving the 90-(90)-90 targets of the Stop TB Partnership Global Plan to End TB. ""TIME Impact"" is a freely available, user-friendly TB modelling tool. In collaboration with provincial TB programme staff, and the South African National TB Programme, models for three (of nine) provinces were calibrated to TB notifications, incidence, and screening data. Reported levels of TB programme activities were used as baseline inputs into the models, which were used to estimate the impact of scale-up of interventions focusing on screening, linkage to care and treatment success. All baseline models predicted a trend of decreasing TB incidence and mortality, consistent with recent data from South Africa. The projected impacts of the interventions differed by province and were greatly influenced by assumed current coverage levels. The absence of provincial TB burden estimates and uncertainty in current activity coverage levels were key data gaps. A user-friendly modelling tool allows TB burden and intervention impact projection at the sub-national level. Key sub-national data gaps should be addressed to improve the quality of sub-national model predictions."
"Clinical Characteristics and Treatment of 308 Panuveitis Patients over 10 Years: Results from the KKESH Uveitis Survey Study Group.","10.1080/09273948.2018.1523436","2019","30303435","Purpose: To describe the clinical characteristics and surgical outcomes of panuveitis over a 10-year period.Methods: Data were collected on panuveitis etiology, treatment, surgery and change in vision.Results: Overall, 308 patients (594 eyes) were evaluated, 54.9% with non-granulomatous and 45.1% with granulomatous uveitis. Fifty-four patients had infectious and 254 had non-infectious uveitis. In infectious panuveitis, vision remained unchanged at last visit. The most frequent diagnosis was presumed intraocular tuberculosis (PIOTB) uveitis (48.1%). In the non-infectious subgroup vision increased significantly by 2 lines at last visit (p = 0.020). The most common diagnose was Vogt-Koyanagi-Harada (VKH) disease (38.6%). Initial therapy was oral prednisone in 86.6% with non-infectious etiology followed by immunosuppressive agents. Surgery secondary to complications (mainly cataracts) was performed in 46.7% patients.Conclusion: In Saudi Arabia, panuveitis was mainly due to VHK. PIOTB was the most common etiology for infectious panuveitis. Immunosuppressive therapy and surgery maintained BCVA in non-infectious panuveitis."
"A new bovine tuberculosis model for England and Wales (BoTMEW) to simulate epidemiology, surveillance and control.","10.1186/s12917-018-1595-9","2018 Sep 4","30176863","Bovine tuberculosis (bTB) is a zoonotic disease of cattle caused by Mycobacterium bovis, widespread in England and Wales. It has high incidence towards the South West of England and Wales, with much lower incidence to the East and North. A stochastic simulation model was developed to simulate M. bovis transmission among cattle, transfer by cattle movements and transmission from environmental reservoirs (often wildlife and especially badgers). It distinguishes five surveillance streams, including herd tests, pre-movement testing and slaughter surveillance. The model thereby simulates interventions in bTB surveillance and control, and generates outputs directly comparable to detailed disease records. An anonymized version of the executable model with its input data has been released. The model was fitted to cattle bTB records for 2008-2010 in a cross-sectional comparison, and its projection was compared with records from 2010 to 2016 for validation.The fitted model explained over 99% of the variation among numbers of breakdowns in four defined regions and surveillance streams in 2010. It classified 7800 (95% confidence interval c. 5500 - 14,000) holdings within high incidence regions as exposed to infectious environmental reservoirs, out of over 31,000 cattle holdings identified as potentially exposed to such sources. The model was consistent with previous estimates of low M. bovis transmission rate among cattle, but cattle to cattle transmission was clearly required to generate the number of cattle cases observed. When projected to 2016, the model as fitted to 2010 continued to match the distribution of bTB among counties, although it was notable that the actual distribution of bTB in 2010 was itself a close match for its distribution in 2016.The close model fit demonstrated that cattle movements could generate breakdowns as observed in low incidence regions, if persistent environmental reservoirs such as wildlife maintained infection levels in the high incidence regions. The model suggests that environmental reservoirs may be a challenge for control, because, although many holdings are exposed to infection from wildlife or the environment, they are a minority of holdings. Large impacts on disease in wildlife will be required to avoid each individual transmission event to cattle."
"Back to the future, again: greater leadership, collaboration and accountability to accelerate progress to end TB.","10.1186/s12916-018-1165-9","2018 Sep 19","30236093","A first UN General Assembly high-level meeting on the fight against tuberculosis (TB) will take place on September 26, 2018. It offers the opportunity to forge new concrete commitments and action needed to finance and deliver universal access to care and prevention, to address equity and social determinants of TB, and to pursue robust research and innovation. These are all needed to accelerate declines in TB mortality, incidence, and social and economic burden of the disease. This Commentary looks at leadership precedents in action against TB and highlights opportunities for bolder accountability and collaboration, especially at the country level, to stimulate action and impact."
"Measuring catastrophic costs due to tuberculosis in Viet Nam.","10.5588/ijtld.17.0859","2018 Sep 1","30092862","Progress towards ending tuberculosis (TB) in Viet Nam includes monitoring the costs borne by patients through periodic facility-based surveys.To document the magnitude of costs incurred by TB-affected households and establish a baseline for the top End TB indicator in Viet Nam.A national survey with retrospective data collection and projection among 735 participants in 20 stratified clusters was conducted in 2016. Each patient was interviewed on costs, time loss, coping measures and asset ownership. Total costs were expressed as a proportion of annual household income.In Viet Nam, 63% of households affected by TB or multidrug-resistant TB (MDR-TB) experienced costs that were >20% of their annual household income. The mean patient costs were respectively US$1054 and US$4302 per episode of TB and MDR-TB. The most significant drivers of mean costs were income loss reported and purchase of special foods, nutritional supplements, travel and accommodation.The proportion of households experiencing catastrophic total costs due to TB in Viet Nam is high, which poses a barrier to TB diagnosis and treatment. Based on study results, programme and partners need to identify key areas for policy action and work towards a national policy guide on intervention to reduce TB patient costs."
"Forecasting the incidence of tuberculosis in China using the seasonal auto-regressive integrated moving average (SARIMA) model.","10.1016/j.jiph.2018.04.009","2018 Sep - Oct","29730253","The aims of this study were to develop a forecasting model for the incidence of tuberculosis (TB) and analyze the seasonality of infections in China; and to provide a useful tool for formulating intervention programs and allocating medical resources.Data for the monthly incidence of TB from January 2004 to December 2015 were obtained from the National Scientific Data Sharing Platform for Population and Health (China). The Box-Jenkins method was applied to fit a seasonal auto-regressive integrated moving average (SARIMA) model to forecast the incidence of TB over the subsequent six months.During the study period of 144 months, 12,321,559 TB cases were reported in China, with an average monthly incidence of 6.4426 per 100,000 of the population. The monthly incidence of TB showed a clear 12-month cycle, and a seasonality with two peaks occurring in January and March and a trough in December. The best-fit model was SARIMA (1,0,0)(0,1,1)12, which demonstrated adequate information extraction (white noise test, p>0.05). Based on the analysis, the incidence of TB from January to June 2016 were 6.6335, 4.7208, 5.8193, 5.5474, 5.2202 and 4.9156 per 100,000 of the population, respectively.According to the seasonal pattern of TB incidence in China, the SARIMA model was proposed as a useful tool for monitoring epidemics.Copyright © 2018 The Authors. Published by Elsevier Ltd.. All rights reserved."
"Seasonal behavior and forecasting trends of tuberculosis incidence in Holy Kerbala, Iraq.","10.4103/ijmy.ijmy_109_18","2018 Oct-Dec","30531036","Pulmonary tuberculosis (PTB) remains major public health problem over the world. Cities witnessing religious event throughout of the year like Kerbala/Iraq require great efforts to minimize the incidence of deadly communicable diseases like TB. The aim of this study is to model the monthly incidence rates of PTB cases in Kerbala/Iraq.This is a retrospective study in which records of confirmed PTB patients whom they referred to the chest and respiratory illnesses center of Holy Kerbala governorate were obtained. Monthly registered new smear-positive PTB cases from January 2010 to December 2016 were analyzed. Seasonal autoregressive integrated moving average (SARIMA), SARIMA-exponential smoothing method (ETS), SARIMA-neural network autoregressive, and SARIMA-adaptive neuro-fuzzy inference system (SARIMA-ANFIS) were used for forecasting monthly incidence rate of TB in Kerbala, Iraq. Mean absolute percentage error, root mean square error, and mean absolute square error were used to compare the models, and Akaike information criterion (AIC) and Bayesian information criterion (BIC) were used to selected best model.The trend of PTB incidence showed a seasonal characteristic, with peaks in spring and winter. Predicted estimates using all models proposed to forecast the number of PTB cases from 2016 to 2018 showed that the PTB cases indicated marginal decrease trends and best forecasted in SARIMA-ANFIS model (the lower AIC and BIC values, 712.69 and 731.05, respectively).Seasonal characteristic of PTB incidence was observed with peaks during spring and winter. Forecasting of PTB incidence between the period 2016 and 2018 showed marginal decrease trends, and the best forecasting model was SARIMA-ANFIS model."
"Current trends and emerging diagnostic techniques for lung cancer.","10.1016/j.biopha.2018.07.145","2018 Oct","30119234","Cancer is one of most fatal forms of disease with rapid, abnormal and uncontrolled division of cells which spreads into different organs in the body. The primary aim of this review is to showcase the current and emerging diagnostic techniques that are used in lung cancer detection. Lung cancer is a leading cause of death among smokers and it has been emerging in non-smokers due to passive smoke inhalation by non-smokers. The mortality rate of patients with lung cancer is very high due to the change in lifestyle and environmental factors. It is often misdiagnosed as tuberculosis in India as tuberculosis is prevalent in India. On the contrary tuberculosis is not prevalent in the western countries Like U.S.A., U.K., Canada, etc. The major setback in lung cancer is that the symptoms of lung cancer occur at very later stages when the tumor has spread profusely. Hence, highly advanced techniques are employed for detection, accurate staging and treatment of lung cancer. The review focuses on the various novel and emerging diagnostic tools like biomarkers and biosensors, radiogenomics and artificial intelligence. This review also gives an insight of the various conventional techniques like CT-imaging, sputum cytology, biopsy and bronchoscopy which have been modified over the years for better sensitivity and accuracy. It also encompasses the regulatory provisions like IDE, CLIA-certification, etc. for manufacturing and sale of diagnostics in India, U.S.A., Japan and Australia.Copyright © 2018. Published by Elsevier Masson SAS."
"Infections in Healthcare Workers in Germany-22-Year Time Trends.","10.3390/ijerph15122656","2018 Nov 26","30486322","Health workers (HWs) run an increased risk of infection. The standardised data set of an accident insurer was used to analyse the time trends of infection-related claims and confirmed occupational diseases (ODs) in HWs. The numbers of claims and confirmed claims for different infections were analysed for the years 1996 to 2017. The rate of claims and confirmed ODs were calculated per 100,000 full-time workers. The number of claims was relatively stable over time. However, the rate per 100,000 full-time workers decreased from 25.2 to 15.4. The decrease was most pronounced for hepatitis B and hepatitis C infections, which were the most frequent infections for which claims were made at the start of the period. In 2017, tuberculosis (TB)-related claims were more frequent than those related to blood-borne virus infections. However, the growing number of TB claims does not reflect an increased infection risk, but rather improved methods for the diagnosis of latent TB infection (LTBI). Measures to prevent blood-borne virus infections in HWs were successful in the last 22 years, but attention should be paid to newly emerging infections."
"Estimating the incidence of tuberculosis cases reported at a tertiary hospital in Ghana: a time series model approach.","10.1186/s12889-018-6221-z","2018 Nov 26","30477460","The incidence of Tuberculosis (TB) differs among countries and contributes to morbidity and mortality especially in the developing countries. Trends and seasonal changes in the number of patients presenting with TB have been studied worldwide including sub-Saharan Africa. However, these changes are unknown at the Korle-Bu Teaching Hospital (KBTH). The aim of this study was to obtain a time series model to estimate the incidence of TB cases at the chest clinic of the Korle-Bu Teaching hospital.A time series analysis using a Box-Jenkins approach propounded as an autoregressive moving average (ARIMA) was conducted on the monthly TB cases reported at the KBTH from 2008 to 2017. Various models were stated and compared and the best was found to be based on the Akaike Information Criterion and Bayesian Information Criterion.There was no evidence of obvious increasing or decreasing trend in the TB data. The log-transformed of the data achieved stationarity with fairly stable variations around the mean of the series. ARIMA (1, 0, 1) or ARMA (1,1) was obtained as the best model. The monthly forecasted values of the best model ranged from 53 to 55 for the year 2018; however, the best model does not always produce the best results with respect to the mean absolute and mean square errors.Irregular fluctuations were observed in the 10 -year data studied. The model equation to estimate the expected monthly TB cases at KBTH produced an AR coefficient of 0.971 plus an MA coefficient of - 0.826 with a constant value of 4.127. The result is important for developing a hypothesis to explain the dynamics of TB occurrence so as to outline prevention programmes, optimal use of resources and effective service delivery."
"Evaluating the potential costs and impact of digital health technologies for tuberculosis treatment support.","10.1183/13993003.01363-2018","2018 Nov","30166325","Ensuring adherence and support during treatment of tuberculosis (TB) is a major public health challenge. Digital health technologies could help improve treatment outcomes. We considered their potential cost and impact on treatment for active or latent TB in Brazil.Decision analysis models simulated two adult cohorts with 1) drug-susceptible active TB, and 2) multidrug-resistant TB, and two cohorts treated with isoniazid for latent TB infection (LTBI): 1) close contacts of persons with active TB, and 2) others newly diagnosed with LTBI. We evaluated four digital support strategies: two different medication monitors, synchronous video-observed therapy (VOT), and two-way short message service (SMS). Comparators were standard directly observed treatment for active TB and self-administered treatment for LTBI. Projected outcomes included costs (2016 US dollars), plus active TB cases and disability-adjusted life years averted among persons with LTBI.For individuals with active TB, medication monitors and VOT are projected to lead to substantial (up to 58%) cost savings, in addition to alleviating inconvenience and cost to patients of supervised treatment visits. For LTBI treatment, SMS and medication monitors are projected to be the most cost-effective interventions. However, all projections are limited by the scarcity of published estimates of clinical effect for the digital technologies.Copyright ©ERS 2018."
"Multidrug-resistant tuberculosis in Australia, 1998-2012.","10.5588/ijtld.17.0412","2018 Mar 1","29471907","To describe the epidemiology and outcomes of multidrug-resistant tuberculosis (MDR-TB) diagnosed in Australia between 1998 and 2012.A retrospective review was undertaken involving all patients with laboratory-confirmed MDR-TB notified in Australia between 1998 and 2012 inclusive. Demographic, clinical and laboratory features are described. Clinical outcomes were defined according to World Health Organization definitions of treatment success (cure and treatment completion), treatment failure, death, loss to follow-up (including transfer out), or not evaluated at treatment completion.A total of 244 cases of MDR-TB were diagnosed in Australia during the study period, representing 1.4% of all TB cases notified. The majority were born outside Australia, including one third in Papua New Guinea. Of those with treatment outcome data available, treatment success was demonstrated in 81%. Treatment success was positively associated with use of a second-line injectable agent. Those born in Papua New Guinea were less likely to achieve treatment success.MDR-TB is uncommon in Australia. The large number of cases born in Papua New Guinea, and the poorer outcomes in this cohort, represent challenges with cross-border management of MDR-TB in the Torres Strait. Australia has an ongoing role in the prevention and management of MDR-TB locally and in the region."
"Under-reporting of tuberculosis in Praia, Cape Verde, from 2006 to 2012.","10.5588/ijtld.17.0256","2018 Mar 1","29471902","According to World Health Organization (WHO) estimates, the under-reporting rate for tuberculosis (TB) in Cape Verde between 2006 and 2012 was 49%. However, the WHO recognises the challenges associated with this estimation process and recommends implementing other methods, such as record linkage, to combat TB under-reporting.To estimate and analyse under-reporting of cases by TB surveillance health units and to evaluate TB cases retrieved from other TB diagnostic sources in Praia, Cape Verde, from 2006 to 2012.This cross-sectional study evaluated under-reporting using the following data: 1) the under-reporting index from TB reporting health units (RHUs), where the number of validated TB cases from RHUs was compared with data from the National Programme for the Fight against Tuberculosis and Leprosy (NPFTL); and 2) the under-reporting index among overall data sources, or a comparison of the number of all validated TB cases from all sources with NPFTL data.The TB under-reporting rate was 40% in Praia during the study period, and results were influenced by laboratory findings.The TB under-reporting rate was very similar to the rate estimated by the WHO. TB surveillance must be improved to reduce under-reporting."
